SCONJ,PRON,PUNCT,DET,NOUN,VERB,ADV,NUM,NOUN,ADV,ADP,PRON,PRON,AUX,VERB,PART,AUX,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,AUX,ADJ,PUNCT,CCONJ,PRON,VERB,DET,NOUN,PUNCT,DET,NOUN,ADV,VERB,DET,NOUN,PUNCT,NUM,PUNCT,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,PROPN,ADP,DET,NOUN,AUX,VERB,SCONJ,PRON,AUX,AUX,NOUN,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,AUX,ADV,ADJ,SCONJ,PRON,AUX,VERB,SCONJ,PRON,VERB,PART,DET,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,AUX,ADJ,PUNCT,SCONJ,DET,NOUN,NUM,AUX,PART,AUX,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,ADP,SCONJ,DET,NOUN,NOUN,AUX,PART,VERB,ADP,DET,NOUN,ADP,ADP,DET,NOUN,ADP,NOUN,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,ADP,DET,NOUN,CCONJ,AUX,VERB,ADP,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,VERB,DET,DET,ADJ,NOUN,PUNCT,PRON,AUX,VERB,PART,VERB,ADP,DET,NOUN,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,VERB,DET,NOUN,ADP,DET,NOUN,SCONJ,PRON,AUX,PART,VERB,DET,ADJ,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,NOUN,PUNCT,ADJ,PUNCT,CCONJ,DET,NOUN,AUX,ADV,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUN,AUX,NUM,ADP,DET,ADV,ADJ,NOUN,NOUN,VERB,ADP,ADP,DET,NOUN,PUNCT,ADV,CCONJ,ADV,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,NOUN,AUX,VERB,ADP,NOUN,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,VERB,DET,NOUN,ADP,VERB,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,SCONJ,NOUN,ADP,DET,NOUN,PUNCT,ADP,NOUN,NUM,NOUN,ADP,ADV,PUNCT,AUX,VERB,NOUN,ADP,NOUN,SCONJ,NOUN,VERB,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADP,DET,NOUN,VERB,NOUN,PART,VERB,PRON,ADP,DET,ADJ,NOUN,PUNCT,ADJ,NOUN,PUNCT,CCONJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,ADJ,NOUN,PUNCT,DET,NOUN,ADP,DET,NOUN,AUX,ADV,VERB,NOUN,PART,VERB,PRON,ADP,DET,ADJ,NOUN,CCONJ,NOUN,PUNCT,DET,ADJ,ADJ,ADJ,ADJ,NOUN,ADP,DET,NOUN,PUNCT,CCONJ,DET,DET,ADJ,CCONJ,ADJ,NOUN,CCONJ,NOUN,PRON,AUX,DET,NOUN,ADP,DET,ADJ,CCONJ,ADJ,PUNCT,VERB,NOUN,PUNCT,,,,,,,,,,,,,,
PRON,VERB,NOUN,ADP,DET,NOUN,AUX,ADJ,PART,VERB,NOUN,ADP,NOUN,NOUN,NOUN,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,SCONJ,ADP,DET,VERB,NOUN,ADP,DET,NOUN,CCONJ,DET,NOUN,ADP,DET,NOUN,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,VERB,NOUN,PUNCT,NOUN,PUNCT,ADJ,ADJ,ADJ,NOUN,CCONJ,ADJ,ADJ,ADJ,PUNCT,ADJ,NOUN,PART,VERB,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,VERB,PART,AUX,VERB,ADP,PRON,ADJ,PUNCT,ADJ,PART,VERB,CCONJ,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET,ADJ,NOUN,AUX,VERB,PART,VERB,PRON,ADJ,DET,NOUN,SCONJ,VERB,DET,ADJ,VERB,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,DET,NOUN,CCONJ,DET,NOUN,ADP,PRON,ADP,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,AUX,VERB,SCONJ,PRON,PRON,PROPN,PART,VERB,DET,NOUN,ADJ,CCONJ,ADJ,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,PROPN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,DET,NOUN,PART,VERB,ADP,DET,ADJ,NOUN,PRON,VERB,ADJ,NOUN,SCONJ,PRON,AUX,ADP,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,SCONJ,PRON,AUX,VERB,DET,ADJ,NOUN,ADV,PUNCT,CCONJ,PRON,AUX,ADV,ADJ,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,AUX,AUX,NOUN,ADJ,ADP,PROPN,PROPN,CCONJ,PROPN,PROPN,PUNCT,DET,NOUN,AUX,PRON,NOUN,PUNCT,CCONJ,DET,NOUN,AUX,ADV,DET,ADJ,NOUN,DET,NOUN,PRON,AUX,ADV,VERB,ADP,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,NOUN,ADP,DET,NOUN,PUNCT,PRON,VERB,PRON,AUX,VERB,ADP,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,AUX,VERB,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,PART,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,NOUN,ADJ,SCONJ,PRON,NOUN,ADP,PRON,NOUN,NOUN,PUNCT,PRON,AUX,ADV,AUX,VERB,SCONJ,ADP,DET,NOUN,ADP,NOUN,PUNCT,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,PRON,VERB,ADP,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,AUX,ADJ,SCONJ,PRON,AUX,VERB,PRON,DET,PRON,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,AUX,PART,VERB,PRON,ADJ,NOUN,ADP,DET,NOUN,PUNCT,PRON,AUX,VERB,ADP,DET,NOUN,NOUN,NOUN,PART,VERB,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADV,ADP,VERB,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,AUX,ADJ,NOUN,VERB,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,NOUN,AUX,AUX,VERB,ADP,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM,NOUN,ADV,PUNCT,PRON,AUX,AUX,ADJ,ADP,PRON,NUM,NOUN,PUNCT,PRON,AUX,ADV,AUX,VERB,ADP,DET,NOUN,ADP,DET,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,SCONJ,AUX,PRON,AUX,VERB,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,AUX,DET,NOUN,ADP,NOUN,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,DET,NOUN,NOUN,CCONJ,PRON,VERB,PRON,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUN,PUNCT,PRON,VERB,NOUN,NOUN,NOUN,ADJ,ADP,DET,NOUN,PUNCT,NOUN,NOUN,PUNCT,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,NOUN,CCONJ,NOUN,NOUN,PUNCT,PRON,AUX,VERB,PART,AUX,ADV,ADJ,CCONJ,VERB,DET,ADJ,NOUN,NOUN,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOUN,AUX,AUX,ADV,ADJ,PUNCT,PRON,AUX,ADV,VERB,DET,NOUN,NOUN,PUNCT,CCONJ,VERB,NOUN,NOUN,NOUN,CCONJ,NOUN,ADV,ADP,VERB,NOUN,CCONJ,VERB,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,ADP,DET,NOUN,ADP,ADJ,NOUN,AUX,ADV,VERB,DET,NOUN,ADP,NOUN,ADP,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,VERB,DET,NOUN,PUNCT,PRON,AUX,VERB,NOUN,CCONJ,NOUN,PUNCT,CCONJ,ADV,VERB,VERB,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,NOUN,AUX,AUX,VERB,CCONJ,VERB,ADP,DET,NOUN,ADP,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,NOUN,PUNCT,PRON,AUX,VERB,ADV,PART,VERB,NOUN,CCONJ,VERB,DET,NOUN,ADV,CCONJ,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,DET,NOUN,ADP,PROPN,CCONJ,AUX,AUX,ADP,PRON,ADJ,NOUN,PUNCT,ADP,DET,PROPN,PUNCT,CCONJ,VERB,PRON,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,SCONJ,DET,NOUN,AUX,PROPN,PROPN,CCONJ,PROPN,PROPN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,DET,ADJ,ADJ,NOUN,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,VERB,ADV,PUNCT,ADP,NUM,PRON,AUX,ADV,ADJ,ADP,NUM,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM,SCONJ,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,DET,NOUN,ADV,ADV,PUNCT,PRON,AUX,ADP,NOUN,ADP,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,NOUN,PUNCT,PRON,VERB,PART,VERB,PRON,ADP,DET,NOUN,NOUN,CCONJ,VERB,PRON,AUX,VERB,SCONJ,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,AUX,ADV,ADV,ADJ,ADP,PRON,AUX,VERB,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,CCONJ,AUX,VERB,PART,VERB,ADP,DET,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTJ,AUX,PRON,ADV,VERB,DET,NOUN,ADP,DET,NOUN,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,PRON,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,NOUN,AUX,ADP,NUM,NOUN,ADP,ADV,PUNCT,PRON,AUX,DET,ADV,ADJ,NOUN,PART,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADP,NOUN,NOUN,AUX,ADV,VERB,ADP,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,AUX,VERB,ADV,ADP,DET,ADJ,NOUN,PUNCT,ADJ,NOUN,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,NOUN,ADP,DET,NOUN,PUNCT,PRON,VERB,PRON,VERB,ADP,DET,NOUN,PART,ADJ,NOUN,CCONJ,PRON,VERB,PRON,ADJ,NOUN,PRON,VERB,PRON,DET,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADJ,NOUN,ADP,NOUN,PUNCT,SCONJ,PRON,VERB,ADP,PRON,CCONJ,PRON,ADP,NOUN,AUX,VERB,PRON,ADP,ADJ,NOUN,CCONJ,ADP,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,NOUN,PUNCT,PRON,VERB,DET,ADJ,VERB,PUNCT,ADV,NOUN,PUNCT,AUX,AUX,DET,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,ADJ,NOUN,ADP,NOUN,AUX,AUX,VERB,CCONJ,DET,NOUN,AUX,ADV,AUX,ADV,NOUN,SCONJ,ADV,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,NOUN,AUX,ADV,AUX,DET,NOUN,NOUN,ADP,VERB,NOUN,CCONJ,ADP,PRON,PRON,VERB,PART,VERB,ADJ,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,AUX,VERB,ADV,ADP,VERB,PRON,CCONJ,AUX,ADJ,ADV,PART,AUX,VERB,ADV,SCONJ,PRON,VERB,PART,VERB,PRON,PRON,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ,PROPN,CCONJ,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,ADP,DET,ADJ,NOUN,PRON,VERB,PRON,DET,ADV,ADJ,NOUN,SCONJ,PRON,AUX,VERB,ADP,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,DET,ADJ,NOUN,ADV,ADP,DET,ADJ,NOUN,PUNCT,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,DET,NOUN,AUX,VERB,ADP,NUM,PUNCT,CCONJ,PRON,VERB,ADP,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,PART,VERB,DET,NOUN,CCONJ,PRON,VERB,ADV,ADP,DET,NOUN,SCONJ,PRON,AUX,ADV,ADJ,NOUN,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,PUNCT,PRON,VERB,SCONJ,DET,NOUN,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,PART,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,VERB,PRON,AUX,VERB,DET,NOUN,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,PUNCT,PRON,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,SCONJ,PRON,AUX,AUX,VERB,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PART,VERB,DET,NOUN,ADV,ADP,DET,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PRON,AUX,VERB,PART,VERB,DET,ADJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PROPN,AUX,PART,ADV,ADJ,ADP,VERB,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PROPN,PROPN,PUNCT,ADV,PRON,NOUN,PUNCT,SCONJ,PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,AUX,PART,NOUN,ADV,SCONJ,ADP,DET,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,DET,ADV,ADJ,NOUN,SCONJ,PRON,AUX,ADP,PROPN,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PROPN,SCONJ,PRON,NOUN,CCONJ,NOUN,AUX,VERB,PART,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,SCONJ,PRON,VERB,PRON,PART,VERB,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PRON,AUX,DET,ADJ,NOUN,PART,VERB,PRON,PUNCT,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PART,VERB,DET,NOUN,ADP,PRON,PUNCT,VERB,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PART,VERB,ADP,PRON,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,NOUN,AUX,ADV,ADJ,SCONJ,PRON,VERB,PRON,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,PRON,NOUN,AUX,VERB,PART,VERB,PRON,NOUN,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,PRON,SCONJ,ADP,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,ADV,PUNCT,PRON,VERB,PART,VERB,ADP,DET,ADJ,NOUN,CCONJ,PRON,AUX,PART,VERB,DET,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADP,DET,ADJ,NOUN,PUNCT,CCONJ,DET,NOUN,AUX,PART,VERB,PUNCT,DET,NOUN,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,ADP,DET,ADJ,NOUN,PRON,AUX,VERB,PUNCT,PROPN,PROPN,PROPN,PUNCT,CCONJ,VERB,ADP,PRON,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,VERB,ADP,DET,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,ADP,PRON,PUNCT,DET,NOUN,VERB,PRON,SCONJ,DET,NOUN,AUX,VERB,ADP,PROPN,PROPN,CCONJ,PROPN,PROPN,CCONJ,PRON,VERB,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,DET,NOUN,AUX,VERB,PART,VERB,ADP,NUM,CCONJ,PRON,VERB,ADP,NUM,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,AUX,VERB,ADP,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADV,VERB,PRON,SCONJ,PRON,AUX,VERB,DET,NOUN,NOUN,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,DET,NOUN,VERB,ADV,PUNCT,ADV,PRON,AUX,PART,ADJ,PART,VERB,ADP,DET,NOUN,NOUN,SCONJ,PRON,AUX,VERB,SCONJ,DET,NOUN,AUX,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,DET,NOUN,ADJ,CCONJ,PRON,AUX,VERB,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,DET,NOUN,PUNCT,AUX,PART,VERB,PRON,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,VERB,CCONJ,AUX,VERB,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,AUX,VERB,PART,VERB,PRON,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADV,ADP,PRON,ADJ,NOUN,CCONJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,AUX,ADJ,NOUN,VERB,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,AUX,VERB,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,ADJ,NOUN,AUX,VERB,PART,VERB,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
